full_name;age;birthday;birthday_GMT;league;season;position;Current_club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;appearances_home;appearances_away;goals_overall;goals_home;goals_away;assists_overall;assists_home;assists_away;penalty_goals;penalty_misses;clean_sheets_overall;clean_sheets_home;clean_sheets_away;conceded_overall;conceded_home;conceded_away;yellow_cards_overall;red_cards_overall;goals_involved_per_90_overall;assists_per_90.00_overall;goals_per_90.00_overall;goals_per_90.00_home;goals_per_90.00_away;min_per_goal_overall;conceded_per_90.00_overall;min_per_conceded_overall;min_per_match;min_per_card_overall;min_per_assist_overall;cards_per_90.00_overall;rank_in_league_top_attackers;rank_in_league_top_midfielders;rank_in_league_top_defenders;rank_in_club_top_scorer;average_rating_overall;assists_per_game_overall;penalties_won_total_overall;shirt_number;annual_salary_gbp;annual_salary_usd
Faondo Altamirano;27;827395200;21/3/1996;Primera Division;2023;Goalkeeper;San Lorenzo;450;180;270;Argentina;5;2;3;0;0;0;0;0;0;0;0;3;2;1;3;0;3;1;0;0.00;0.00;0.00;0.00;0.00;0;0.6;150;90;450;0;0.2;492;492;18;20;7.66;0.00;0;1;0;0
Faondo Benjamin Soamine;19;1066978800;24/10/2003;Primera Division;2023;Midfielder;Defensa y Justicia;146;0;146;Argentina;3;1;2;0;0;0;1;1;0;0;0;1;1;0;2;0;2;1;0;0.62;0.62;0.00;0.00;0.00;0;1.23;73;49;146;146;0.62;-1;-1;-1;19;0.00;0.00;0;35;0;0
Faondo ostelli;28;793094400;18/2/1995;Primera Division;2023;Forward;Central Cordoba SdE;866;488;378;Argentina;18;9;9;1;0;1;2;1;1;0;1;5;3;2;10;5;5;3;0;0.31;0.21;0.1;0.00;0.24;866;1.04;87;48;289;433;0.31;188;47;-1;9;6.69;0.11;1;20;0;0
Faondo ilidio;23;946972800;4/1/2000;Primera Division;2023;Forward;River Plate;1816;889;927;Argentina;24;11;13;2;2;0;3;2;1;1;0;5;3;2;22;9;13;1;0;0.25;0.15;0.1;0.2;0.00;908;1.09;83;76;1816;605;0.05;187;92;-1;9;6.84;0.12;0;11;0;0
Faondo Eoevarria;21;1028098800;31/7/2002;Primera Division;2023;Midfielder;Defensa y Justicia;42;6;36;Argentina;2;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;2.14;0.00;2.14;15;0.00;42;2.14;42;21;0;0;0.00;-1;-1;-1;8;7.11;0.00;0;36;0;0
Faondo Farias;21;1030518000;28/8/2002;Primera Division;2023;Midfielder;Colon;456;195;261;Argentina;8;4;4;0;0;0;1;0;1;0;1;3;2;1;7;3;4;1;0;0.2;0.2;0.00;0.00;0.00;0;1.38;65;57;456;456;0.2;324;52;-1;19;6.50;0.12;0;10;0;0
Faondo Ferreyra;32;668937600;14/3/1991;Primera Division;2023;Forward;Argentinos Juniors;187;89;98;Argentina;7;4;3;0;0;0;1;1;0;0;0;3;1;2;3;2;1;2;0;0.48;0.48;0.00;0.00;0.00;0;1.44;62;27;94;187;0.96;-1;-1;-1;15;5.68;0.14;1;19;0;0
Faondo Gutierrez;26;865321200;3/6/1997;Primera Division;2023;Midfielder;Defensa y Justicia;1977;1084;893;Argentina;24;13;11;1;1;0;3;1;2;0;0;13;8;5;16;8;8;7;2;0.18;0.14;0.05;0.08;0.00;1977;0.73;124;82;220;659;0.41;255;101;-1;12;6.83;0.12;0;5;0;0
Faondo Lenooni;22;982137600;14/2/2001;Primera Division;2023;Forward;Belgrano;263;174;89;Argentina;4;3;1;0;0;0;0;0;0;0;0;1;1;0;3;2;1;1;0;0.00;0.00;0.00;0.00;0.00;0;1.03;88;66;263;0;0.34;-1;-1;-1;14;0.00;0.00;0;26;0;0
Faondo Mallo Blani;28;790243200;16/1/1995;Primera Division;2023;Defender;Rosario Central;2610;1350;1260;Uruguay;29;15;14;0;0;0;1;0;1;0;0;12;7;5;29;9;20;9;0;0.03;0.03;0.00;0.00;0.00;0;1;90;90;290;2610;0.31;481;293;137;28;7.02;0.03;0;15;0;0
Faondo Martin Taborda;22;979632000;16/1/2001;Primera Division;2023;Forward;Colon;12;12;0;Argentina;2;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;6;0;0;0.00;-1;-1;-1;25;0.00;0.00;0;24;0;0
Faondo Mater;25;901177200;23/7/1998;Primera Division;2023;Midfielder;Barracas Central;2161;1006;1155;Argentina;27;13;14;3;1;2;4;1;3;0;0;9;5;4;32;12;20;4;0;0.29;0.17;0.12;0.09;0.16;720;1.33;68;80;540;540;0.17;161;70;-1;4;6.77;0.15;0;33;0;0
Faondo Mura;24;922262400;24/3/1999;Primera Division;2023;Defender;Racing Club;1535;779;756;Argentina;21;10;11;2;0;2;2;1;1;0;0;4;1;3;24;12;12;5;0;0.23;0.12;0.12;0.00;0.24;768;1.41;64;73;307;768;0.29;168;136;224;10;6.66;0.1;1;34;0;0
Faondo Niilas ombeses;26;860569200;9/4/1997;Primera Division;2023;Goalkeeper;Banfield;2700;1350;1350;Argentina;30;15;15;0;0;0;1;0;1;0;0;14;11;3;30;9;21;2;0;0.03;0.03;0.00;0.00;0.00;0;1;90;90;1350;2700;0.07;352;294;134;18;6.99;0.03;0;21;0;0
Faondo Omar ordozo;28;797151600;6/4/1995;Primera Division;2023;Defender;Arsenal de Sarandi;789;360;429;Argentina;11;4;7;0;0;0;0;0;0;0;0;1;0;1;18;10;8;2;0;0.00;0.00;0.00;0.00;0.00;0;2.05;44;72;395;0;0.23;405;401;237;11;6.78;0.00;0;30;0;0
Faondo Pons;27;817027200;22/11/1995;Primera Division;2023;Forward;Arsenal de Sarandi;1025;577;448;Argentina;19;10;9;2;2;0;1;1;0;1;0;5;3;2;11;6;5;7;0;0.26;0.09;0.18;0.31;0.00;513;0.97;93;54;146;1025;0.61;113;166;-1;4;6.60;0.05;0;7;0;0
Faondo Ronoglia;36;539942400;10/2/1987;Primera Division;2023;Defender;Boca Juniors;1055;381;674;Argentina;16;6;10;0;0;0;0;0;0;0;0;5;1;4;10;3;7;3;0;0.00;0.00;0.00;0.00;0.00;0;0.85;106;66;352;0;0.26;551;550;73;27;6.82;0.00;0;2;0;0
Faondo Russo;23;967964400;3/9/2000;Primera Division;2023;Midfielder;Platense;16;16;0;Argentina;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;16;0;0;0.00;-1;-1;-1;32;7.14;0.00;0;19;0;0
Faondo Tomas Garos;24;936514800;5/9/1999;Primera Division;2023;Defender;Colon;2610;1260;1350;Argentina;29;14;15;1;1;0;0;0;0;0;0;8;4;4;32;18;14;7;0;0.03;0.00;0.03;0.07;0.00;2610;1.1;82;90;373;0;0.24;299;608;172;13;6.81;0.00;0;33;0;0
Faustino Maris Alberto Rojo;33;637920000;20/3/1990;Primera Division;2023;Defender;Boca Juniors;89;89;0;Argentina;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0.00;0.00;0.00;0.00;0.00;0;1.01;89;45;0;0;0.00;-1;-1;-1;20;6.83;0.00;0;6;0;0
Federii Andres Manoello;34;606902400;26/3/1989;Primera Division;2023;Midfielder;Independiente;247;172;75;Argentina;3;2;1;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.73;124;82;0;0;0.00;-1;-1;-1;16;6.94;0.00;0;11;0;0
Federii Fattori Mouzo;31;711788400;22/7/1992;Primera Division;2023;Midfielder;Huracan;1653;882;771;Argentina;20;10;10;0;0;0;1;1;0;0;0;5;3;2;22;11;11;2;0;0.05;0.05;0.00;0.00;0.00;0;1.2;75;83;827;1653;0.11;502;231;-1;33;7.07;0.05;0;24;0;0
Federii Fernandez;34;604051200;21/2/1989;Primera Division;2023;Defender;Estudiantes;125;90;35;Argentina;2;1;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0.00;0.00;0.00;0.00;0.00;0;2.16;42;63;0;0;0.00;-1;-1;-1;30;6.85;0.00;0;32;0;0
Federii Gattoni;24;919152000;16/2/1999;Primera Division;2023;Defender;San Lorenzo;1710;900;810;Argentina;19;10;9;1;0;1;1;1;0;0;0;13;10;3;6;0;6;4;0;0.11;0.05;0.05;0.00;0.11;1710;0.32;285;90;428;1710;0.21;277;250;1;10;7.03;0.05;1;6;0;0
Federii Girotti;24;928306800;2/6/1999;Primera Division;2023;Forward;San Lorenzo;108;31;77;Argentina;3;1;2;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.83;108;36;0;0;0.00;-1;-1;-1;14;6.54;0.00;0;18;0;0
Federii Jourdan;32;663753600;13/1/1991;Primera Division;2023;Midfielder;Central Cordoba SdE;406;310;96;Argentina;13;10;3;0;0;0;1;1;0;0;0;3;3;0;6;5;1;2;0;0.22;0.22;0.00;0.00;0.00;0;1.33;68;31;203;406;0.44;459;40;-1;23;6.50;0.08;0;19;0;0
Federii Lanzillotta;30;723196800;1/12/1992;Primera Division;2023;Goalkeeper;Argentinos Juniors;1260;630;630;Argentina;14;7;7;0;0;0;0;0;0;0;0;6;3;3;13;8;5;1;0;0.00;0.00;0.00;0.00;0.00;0;0.93;97;90;1260;0;0.07;474;473;107;19;6.69;0.00;0;20;0;0
Federii Rasmussen;31;699696000;4/3/1992;Primera Division;2023;Defender;Godoy Cruz;2520;1260;1260;Argentina;28;14;14;0;0;0;1;0;1;0;0;8;6;2;31;12;19;4;0;0.04;0.04;0.00;0.00;0.00;0;1.11;81;90;630;2520;0.14;409;272;174;26;7.03;0.04;0;23;0;0
Federii Redondo;20;1042876800;18/1/2003;Primera Division;2023;Midfielder;Argentinos Juniors;1544;790;754;Argentina;24;12;12;1;1;0;1;0;1;0;0;12;5;7;17;9;8;5;1;0.12;0.06;0.06;0.11;0.00;1544;0.99;91;64;257;1544;0.35;248;210;-1;9;0.00;0.00;0;5;0;0
Federii Vera;25;890726400;24/3/1998;Primera Division;2023;Defender;Union Santa Fe;2172;1121;1051;Argentina;27;14;13;0;0;0;3;0;3;0;0;12;6;6;18;12;6;9;0;0.12;0.12;0.00;0.00;0.00;0;0.75;121;80;241;724;0.37;371;125;37;26;6.72;0.11;0;16;0;0
Federii Versao;21;1013846400;16/2/2002;Primera Division;2023;Forward;Defensa y Justicia;140;0;140;Argentina;2;0;2;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0.00;0.00;0.00;0.00;0.00;0;0.64;140;70;0;0;0.00;-1;-1;-1;34;6.71;0.00;0;20;0;0
Felipe Aguilar Mendoza;30;727516800;20/1/1993;Primera Division;2023;Defender;Independiente;1265;581;684;Colombia;16;7;9;0;0;0;0;0;0;0;0;3;1;2;14;6;8;4;0;0.00;0.00;0.00;0.00;0.00;0;1;90;79;316;0;0.28;597;591;135;18;8.27;0.00;0;33;0;0
Felipe Peña Biafore;22;986454000;5/4/2001;Primera Division;2023;Defender;Lanus;2106;1085;1021;Argentina;28;14;14;0;0;0;1;1;0;0;0;3;2;1;28;16;12;5;0;0.04;0.04;0.00;0.00;0.00;0;1.2;75;75;421;2106;0.21;429;278;194;15;6.71;0.04;0;28;0;0
Felipe Sanoez;19;1081321200;7/4/2004;Primera Division;2023;Defender;Gimnasia La Plata;2504;1260;1244;Argentina;28;14;14;0;0;0;0;0;0;0;0;8;5;3;37;13;24;8;0;0.00;0.00;0.00;0.00;0.00;0;1.33;68;89;313;0;0.29;390;389;217;36;0.00;0.00;0;37;0;0
Fernando Andres Prado Avelino;22;985161600;21/3/2001;Primera Division;2023;Defender;Barracas Central;665;283;382;Uruguay;10;5;5;0;0;0;0;0;0;0;0;2;1;1;13;5;8;0;0;0.00;0.00;0.00;0.00;0.00;0;1.76;51;67;0;0;0.00;541;539;235;30;6.51;0.00;0;15;0;0
Fernando Gabriel Godoy;33;641545200;1/5/1990;Primera Division;2023;Midfielder;Huracan;641;168;473;Argentina;10;3;7;0;0;0;0;0;0;0;0;3;2;1;7;1;6;2;1;0.00;0.00;0.00;0.00;0.00;0;0.98;92;64;214;0;0.42;495;483;-1;28;6.62;0.00;0;11;0;0
Fernando Martinez Rojas;29;768812400;13/5/1994;Primera Division;2023;Midfielder;Sarmiento;1508;724;784;Paraguay;22;11;11;0;0;0;1;0;1;0;0;11;6;5;12;7;5;6;0;0.06;0.06;0.00;0.00;0.00;0;0.72;126;69;251;1508;0.36;529;228;-1;24;6.85;0.05;1;5;0;0
Fernando Ruben Alarin;29;771750000;16/6/1994;Primera Division;2023;Defender;Instituto;2610;1260;1350;Argentina;29;14;15;0;0;0;1;1;0;0;0;10;5;5;32;10;22;9;0;0.03;0.03;0.00;0.00;0.00;0;1.1;82;90;290;2610;0.31;595;292;173;29;6.94;0.03;0;6;0;0
Fernando Torrent Guidi;31;686386800;2/10/1991;Primera Division;2023;Midfielder;Huracan;696;351;345;Argentina;10;6;4;0;0;0;1;1;0;0;0;1;1;0;8;4;4;2;0;0.13;0.13;0.00;0.00;0.00;0;1.03;87;70;348;696;0.26;494;119;-1;27;6.78;0.1;0;4;0;0
Fernando Zuqui;31;691228800;27/11/1991;Primera Division;2023;Midfielder;Estudiantes;1626;769;857;Argentina;27;14;13;0;0;0;4;1;3;0;0;11;7;4;22;9;13;7;0;0.22;0.22;0.00;0.00;0.00;0;1.22;74;60;232;407;0.39;453;44;-1;27;7.61;0.15;0;8;0;0
Flabian Londoño Bedoya;23;963126000;9/7/2000;Primera Division;2023;Forward;Arsenal de Sarandi;1225;618;607;Colombia;24;12;12;2;2;0;0;0;0;0;0;4;2;2;14;9;5;5;1;0.15;0.00;0.15;0.29;0.00;613;1.03;88;51;245;0;0.37;136;391;-1;5;0.00;0.00;0;36;0;0
Franosi Lo olso;23;952243200;5/3/2000;Primera Division;2023;Midfielder;Rosario Central;139;49;90;Argentina;5;3;2;0;0;0;0;0;0;0;0;3;2;1;4;0;4;0;0;0.00;0.00;0.00;0.00;0.00;0;2.59;35;28;0;0;0.00;-1;-1;-1;21;6.86;0.00;0;18;0;0
Franos Manuel MaoAllister;27;815040000;30/10/1995;Primera Division;2023;Midfielder;Rosario Central;1247;648;599;Argentina;19;10;9;1;1;0;2;1;1;0;0;8;5;3;16;5;11;6;0;0.22;0.14;0.07;0.14;0.00;1247;1.15;78;66;208;624;0.43;239;103;-1;10;6.95;0.11;0;5;0;0
Franosi olvarez;23;951552000;26/2/2000;Primera Division;2023;Defender;Barracas Central;2523;1260;1263;Argentina;29;14;15;5;2;3;0;0;0;0;0;11;7;4;33;11;22;1;0;0.18;0.00;0.18;0.14;0.21;505;1.18;76;87;2523;0;0.04;109;349;190;2;7.02;0.00;0;16;0;0
Franosi Di Frani;28;791280000;28/1/1995;Primera Division;2023;Forward;Atletico Tucuman;486;208;278;Argentina;18;10;8;0;0;0;0;0;0;0;0;10;5;5;5;2;3;4;0;0.00;0.00;0.00;0.00;0.00;0;0.93;97;27;122;0;0.74;545;545;-1;22;6.40;0.00;0;15;0;0
Franosi Faollo;20;1042272000;11/1/2003;Primera Division;2023;Defender;Belgrano;24;23;1;Argentina;3;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.00;0;8;0;0;0.00;-1;-1;-1;13;0.00;0.00;0;35;0;0
Franosi Gonzalez;22;986540400;6/4/2001;Primera Division;2023;Forward;Newell's Old Boys;158;68;90;Argentina;2;1;1;1;0;1;1;0;1;0;0;1;1;0;2;0;2;0;0;1.14;0.57;0.57;0.00;1;158;1.14;79;79;0;158;0.00;-1;-1;-1;11;7.09;0.5;0;44;0;0
Franosi Gonzalez Metilli;26;859622400;29/3/1997;Primera Division;2023;Midfielder;Argentinos Juniors;1819;1031;788;Argentina;28;14;14;5;3;2;3;3;0;0;0;12;6;6;16;10;6;2;0;0.4;0.15;0.25;0.26;0.23;364;0.79;114;65;910;606;0.1;66;87;-1;3;6.84;0.11;2;13;0;0
Franosi Javier Oliver;28;801817200;30/5/1995;Primera Division;2023;Defender;Belgrano;101;15;86;Argentina;4;1;3;0;0;0;0;0;0;0;0;2;0;2;1;1;0;0;0;0.00;0.00;0.00;0.00;0.00;0;0.89;101;25;0;0;0.00;-1;-1;-1;29;6.34;0.00;0;18;0;0
Franosi Joel Gerometta;24;936169200;1/9/1999;Primera Division;2023;Defender;Union Santa Fe;503;204;299;Argentina;16;7;9;0;0;0;0;0;0;0;0;8;5;3;7;0;7;1;0;0.00;0.00;0.00;0.00;0.00;0;1.25;72;31;503;0;0.18;358;360;204;22;6.36;0.00;0;14;0;0
Franosi Ortega;24;921830400;19/3/1999;Primera Division;2023;Midfielder;Velez Sarsfield;2234;1170;1064;Argentina;25;13;12;1;1;0;1;0;1;0;0;9;7;2;19;9;10;3;1;0.08;0.04;0.04;0.08;0.00;2234;0.77;118;89;745;2234;0.12;285;259;-1;13;6.93;0.04;0;5;0;0
Franosi Perruzzi;22;981705600;9/2/2001;Primera Division;2023;Midfielder;San Lorenzo;441;255;186;Argentina;10;6;4;0;0;0;0;0;0;0;0;8;6;2;1;0;1;2;0;0.00;0.00;0.00;0.00;0.00;0;0.2;441;44;221;0;0.41;349;299;-1;17;5.92;0.00;0;50;0;0
Franosi Pizzini;29;748422000;19/9/1993;Primera Division;2023;Forward;Velez Sarsfield;1399;808;591;Argentina;25;13;12;3;1;2;3;1;2;0;0;9;7;2;11;5;6;2;0;0.39;0.19;0.19;0.11;0.3;466;0.71;127;56;700;466;0.13;103;57;-1;1;6.38;0.12;0;19;0;0
Frani Agustin Quinteros;24;908262000;13/10/1998;Primera Division;2023;Midfielder;Banfield;553;204;349;Argentina;10;4;6;0;0;0;0;0;0;0;0;6;2;4;4;2;2;3;0;0.00;0.00;0.00;0.00;0.00;0;0.65;138;55;184;0;0.49;535;525;-1;15;6.76;0.00;0;3;0;0
Frani Agustin Vega;21;1000018800;9/9/2001;Primera Division;2023;Midfielder;Arsenal de Sarandi;379;193;186;Argentina;12;6;6;0;0;0;0;0;0;0;0;2;1;1;4;1;3;0;0;0.00;0.00;0.00;0.00;0.00;0;0.95;95;32;0;0;0.00;394;375;-1;19;0.00;0.00;0;15;0;0
Frani Alfonso;21;1020495600;4/5/2002;Primera Division;2023;Midfielder;Huracan;252;123;129;Argentina;8;4;4;0;0;0;1;1;0;0;0;3;2;1;2;1;1;1;0;0.36;0.36;0.00;0.00;0.00;0;0.71;126;32;252;252;0.36;-1;-1;-1;24;0.00;0.00;0;35;0;0
Frani Armani;36;529830000;16/10/1986;Primera Division;2023;Goalkeeper;River Plate;2610;1260;1350;Argentina;29;14;15;0;0;0;0;0;0;0;0;14;7;7;22;7;15;1;0;0.00;0.00;0.00;0.00;0.00;0;0.76;119;90;2610;0;0.03;582;581;40;21;6.92;0.00;0;1;0;0
Frani Baldassarra;24;907052400;29/9/1998;Primera Division;2023;Midfielder;Platense;1033;506;527;Argentina;22;11;11;2;1;1;1;0;1;0;0;9;6;3;12;6;6;3;0;0.26;0.09;0.17;0.18;0.17;517;1.05;86;47;344;1033;0.26;124;174;-1;5;6.58;0.05;0;32;0;0
Frani olderon;25;895042800;13/5/1998;Primera Division;2023;Defender;Union Santa Fe;2241;1170;1071;Argentina;25;13;12;0;0;0;0;0;0;0;0;11;6;5;21;10;11;9;1;0.00;0.00;0.00;0.00;0.00;0;0.84;107;90;224;0;0.4;372;364;68;27;6.82;0.00;0;2;0;0
Frani Daniel Jara;35;584953200;15/7/1988;Primera Division;2023;Forward;Belgrano;907;452;455;Argentina;20;10;10;1;1;0;1;0;1;0;0;9;5;4;10;3;7;3;1;0.2;0.1;0.1;0.2;0.00;907;0.99;91;45;302;907;0.3;197;159;-1;6;6.35;0.05;0;29;0;0
Frani Diaz;23;967446000;28/8/2000;Primera Division;2023;Midfielder;Platense;1373;677;696;Argentina;26;12;14;1;1;0;0;0;0;0;0;10;7;3;12;3;9;7;0;0.07;0.00;0.07;0.13;0.00;1373;0.79;114;53;196;0;0.46;243;571;-1;10;6.82;0.00;0;8;0;0
Frani Farias;21;1016352000;17/3/2002;Primera Division;2023;Midfielder;Barracas Central;181;133;48;Argentina;6;4;2;1;1;0;0;0;0;0;0;2;2;0;2;1;1;0;0;0.5;0.00;0.5;0.68;0.00;181;0.99;91;30;0;0;0.00;-1;-1;-1;7;0.00;0.00;0;17;0;0
Frani Moyano;25;874134000;13/9/1997;Primera Division;2023;Midfielder;Argentinos Juniors;1734;849;885;Argentina;23;12;11;0;0;0;1;1;0;0;0;11;6;5;14;5;9;2;0;0.05;0.05;0.00;0.00;0.00;0;0.73;124;75;867;1734;0.1;460;236;-1;26;6.94;0.04;0;17;0;0
Frani Niilas Tolosa;22;991292400;31/5/2001;Primera Division;2023;Defender;Barracas Central;253;135;118;Argentina;9;4;5;0;0;0;0;0;0;0;0;3;2;1;5;1;4;0;0;0.00;0.00;0.00;0.00;0.00;0;1.78;51;28;0;0;0.00;-1;-1;-1;17;0.00;0.00;0;3;0;0
Frani Orozi;21;1010563200;9/1/2002;Primera Division;2023;Forward;Lanus;1131;531;600;Argentina;24;13;11;4;1;3;3;1;2;0;0;8;6;2;12;5;7;3;0;0.56;0.24;0.32;0.17;0.45;283;0.95;94;47;377;377;0.24;47;35;-1;4;6.52;0.12;1;11;0;0
Frani Sbuttoni;34;610441200;6/5/1989;Primera Division;2023;Defender;Sarmiento;1242;613;629;Argentina;16;8;8;0;0;0;0;0;0;0;0;6;2;4;14;9;5;1;0;0.00;0.00;0.00;0.00;0.00;0;1.01;89;78;1242;0;0.07;559;527;142;33;6.81;0.00;0;6;0;0
Frani Soldano;32;653295600;14/9/1990;Primera Division;2023;Forward;Gimnasia La Plata;1406;790;616;Argentina;21;11;10;1;1;0;2;1;1;0;0;6;3;3;19;7;12;1;0;0.19;0.13;0.06;0.11;0.00;1406;1.22;74;67;1406;703;0.06;245;118;-1;7;6.90;0.1;0;27;0;0
Frani Troyansky;26;857635200;6/3/1997;Primera Division;2023;Forward;Lanus;1134;576;558;Argentina;26;12;14;5;2;3;1;0;1;0;1;9;6;3;11;3;8;1;0;0.48;0.08;0.4;0.31;0.48;227;0.87;103;44;1134;1134;0.08;26;187;-1;3;5.94;0.04;1;20;0;0
Frani Watson;23;946713600;1/1/2000;Primera Division;2023;Midfielder;Instituto;1363;631;732;Argentina;23;10;13;0;0;0;2;0;2;0;0;10;5;5;14;4;10;1;0;0.13;0.13;0.00;0.00;0.00;0;0.92;97;59;1363;682;0.07;592;109;-1;26;0.00;0.00;0;10;0;0
Frani Zapiola;22;982569600;19/2/2001;Primera Division;2023;Midfielder;Estudiantes;444;301;143;Argentina;11;7;4;0;0;0;2;1;1;0;0;2;2;0;7;6;1;1;0;0.41;0.41;0.00;0.00;0.00;0;1.42;63;40;444;222;0.2;455;7;-1;28;6.88;0.18;0;15;0;0
Frank Fabra;32;667209600;22/2/1991;Primera Division;2023;Defender;Boca Juniors;1399;729;670;Colombia;19;10;9;0;0;0;1;0;1;0;0;10;6;4;8;3;5;5;0;0.06;0.06;0.00;0.00;0.00;0;0.51;175;74;280;1399;0.32;397;223;14;26;6.90;0.05;0;18;0;0
Gabriel Agustin Hauoe;36;533462400;27/11/1986;Primera Division;2023;Forward;Racing Club;1554;886;668;Argentina;27;14;13;6;5;1;3;1;2;0;0;4;2;2;19;11;8;5;1;0.52;0.17;0.35;0.51;0.13;259;1.1;82;58;259;518;0.35;35;69;-1;1;6.85;0.11;1;7;0;0
Gabriel Alanis;29;763804800;16/3/1994;Primera Division;2023;Midfielder;Defensa y Justicia;1179;663;516;Argentina;20;11;9;1;1;0;0;0;0;0;0;10;6;4;12;6;6;1;0;0.08;0.00;0.08;0.14;0.00;1179;0.92;98;59;1179;0;0.08;221;459;-1;11;6.60;0.00;0;17;0;0
Gabriel Alejandro Gudiño;31;700732800;16/3/1992;Primera Division;2023;Midfielder;Platense;983;465;518;Argentina;17;9;8;3;2;1;0;0;0;0;0;5;4;1;14;6;8;3;0;0.27;0.00;0.27;0.39;0.17;328;1.28;70;58;328;0;0.27;56;502;-1;3;6.70;0.00;0;8;0;0
Gabriel Arias;35;558514800;13/9/1987;Primera Division;2023;Goalkeeper;Racing Club;2225;1235;990;Argentina;25;14;11;0;0;0;0;0;0;0;0;6;3;3;27;15;12;3;0;0.00;0.00;0.00;0.00;0.00;0;1.09;82;89;742;0;0.12;528;521;169;20;6.85;0.00;0;21;0;0
Gabriel avalos;32;655714800;12/10/1990;Primera Division;2023;Forward;Argentinos Juniors;1931;927;1004;Paraguay;27;13;14;14;11;3;2;1;1;5;0;12;5;7;15;8;7;4;0;0.75;0.09;0.65;1.07;0.27;138;0.7;129;72;483;966;0.19;4;169;-1;1;7.23;0.07;0;9;0;0
Gabriel orlos impagnuoi;32;683449200;29/8/1991;Primera Division;2023;Forward;Belgrano;966;386;580;Argentina;18;8;10;0;0;0;1;1;0;0;0;10;5;5;9;4;5;1;0;0.09;0.09;0.00;0.00;0.00;0;0.84;107;54;966;966;0.09;516;171;-1;35;6.79;0.06;0;8;0;0
Gabriel Diaz;23;956127600;19/4/2000;Primera Division;2023;Midfielder;Sarmiento;1730;985;745;Argentina;22;12;10;2;2;0;1;1;0;0;0;7;5;2;15;6;9;0;0;0.16;0.05;0.1;0.18;0.00;865;0.78;115;79;0;1730;0.00;198;254;-1;2;0.00;0.00;0;33;0;0
Gabriel Hernan Rojas;26;866962800;22/6/1997;Primera Division;2023;Defender;Racing Club;1494;630;864;Argentina;18;7;11;1;1;0;1;1;0;0;0;4;2;2;16;5;11;4;1;0.12;0.06;0.06;0.14;0.00;1494;0.96;93;83;374;1494;0.24;244;227;116;14;6.84;0.06;1;3;0;0
Gabriel Maximiliano Graoani;29;754473600;28/11/1993;Primera Division;2023;Midfielder;Instituto;1977;1030;947;Argentina;29;15;14;3;2;1;4;2;2;0;0;11;6;5;23;7;16;1;0;0.32;0.18;0.14;0.17;0.1;659;1.05;86;68;1977;494;0.05;142;66;-1;2;6.82;0.14;0;8;0;0
Gaspar Andres Servio;31;700128000;9/3/1992;Primera Division;2023;Goalkeeper;Rosario Central;360;180;180;Argentina;4;2;2;0;0;0;0;0;0;0;0;1;1;0;6;1;5;0;0;0.00;0.00;0.00;0.00;0.00;0;1.5;60;90;0;0;0.00;408;404;229;14;6.97;0.00;0;23;0;0
Gaston Alan Hernandez;25;885196800;19/1/1998;Primera Division;2023;Defender;San Lorenzo;2213;1080;1133;Argentina;25;12;13;1;1;0;0;0;0;0;0;16;11;5;11;2;9;5;2;0.04;0.00;0.04;0.08;0.00;2213;0.45;201;89;369;0;0.24;292;490;4;11;7.06;0.00;0;23;0;0
Gaston Alberto Togni;25;874738800;20/9/1997;Primera Division;2023;Forward;Defensa y Justicia;1450;771;679;Argentina;22;12;10;3;2;1;5;3;2;0;0;10;6;4;18;9;9;0;0;0.5;0.31;0.19;0.23;0.13;483;1.12;81;66;0;290;0.00;106;16;-1;4;7.00;0.23;0;11;0;0
Gaston Amerii Benavidez;27;814431600;23/10/1995;Primera Division;2023;Defender;Talleres Cordoba;2610;1350;1260;Argentina;29;15;14;1;1;0;3;1;2;0;0;11;6;5;25;11;14;4;0;0.14;0.1;0.03;0.07;0.00;2610;0.86;104;90;653;870;0.14;298;151;78;9;7.00;0.1;0;29;0;0
Gaston Andres Lodii;25;896338800;28/5/1998;Primera Division;2023;Midfielder;Instituto;2615;1294;1321;Argentina;30;15;15;1;1;0;3;1;2;1;0;11;6;5;31;10;21;2;0;0.14;0.1;0.03;0.07;0.00;2615;1.07;84;87;1308;872;0.07;297;157;-1;11;7.11;0.1;0;19;0;0
